wire [31:0] if_pc_bj_w;
[5000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[15000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[25000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[35000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000000 ALU_OP=0 | ALU_RESULT=00000000 | BJ_PC=00000000 BJ_TAKEN=0 |
[45000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000001 ALU_OP=0 | ALU_RESULT=00000001 | BJ_PC=00000001 BJ_TAKEN=0 |
[55000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000002 ALU_OP=0 | ALU_RESULT=00000002 | BJ_PC=00000006 BJ_TAKEN=0 |
[65000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000003 ALU_OP=0 | ALU_RESULT=00000003 | BJ_PC=0000000b BJ_TAKEN=0 |
[75000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000004 ALU_OP=0 | ALU_RESULT=00000004 | BJ_PC=00000010 BJ_TAKEN=0 |
[85000][EX-SIGNAL] RS1_DATA=00000000 RS2_DATA=00000000 | OPERAND1=00000000 OPERAND2=00000005 ALU_OP=0 | ALU_RESULT=00000005 | BJ_PC=00000015 BJ_TAKEN=0 |
[95000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=0 | ALU_RESULT=00000003 | BJ_PC=00000014 BJ_TAKEN=0 |
[105000][EX-SIGNAL] RS1_DATA=00000003 RS2_DATA=00000001 | OPERAND1=00000003 OPERAND2=00000001 ALU_OP=1 | ALU_RESULT=00000002 | BJ_PC=00000018 BJ_TAKEN=0 |
[115000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=2 | ALU_RESULT=00000004 | BJ_PC=0000001c BJ_TAKEN=0 |
[125000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=3 | ALU_RESULT=00000001 | BJ_PC=00000020 BJ_TAKEN=0 |
[135000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=4 | ALU_RESULT=00000001 | BJ_PC=00000024 BJ_TAKEN=0 |
[145000][EX-SIGNAL] RS1_DATA=00000001 RS2_DATA=00000002 | OPERAND1=00000001 OPERAND2=00000002 ALU_OP=5 | ALU_RESULT=00000003 | BJ_PC=00000028 BJ_TAKEN=0 |
[155000][EX-SIGNAL] RS1_DATA=00000002 RS2_DATA=00000001 | OPERAND1=00000002 OPERAND2=00000001 ALU_OP=6 | ALU_RESULT=00000001 | BJ_PC=0000002c BJ_TAKEN=0 |
[165000][EX-SIGNAL] RS1_DATA=00000002 RS2_DATA=00000001 | OPERAND1=00000002 OPERAND2=00000001 ALU_OP=7 | ALU_RESULT=00000001 | BJ_PC=00000030 BJ_TAKEN=0 |
