wire if_bj_taken_w;
[5000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[15000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[25000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[35000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[45000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[55000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[65000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[75000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[85000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[95000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[105000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[115000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[125000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[135000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[145000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[155000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[165000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[175000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[185000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[195000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[205000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[215000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[225000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[235000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[245000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[255000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[265000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[275000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[285000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[295000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[305000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=1 IF_BJ_TAKEN=0
[315000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=1 IF_BJ_TAKEN=0
[325000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=1 IF_BJ_TAKEN=0
[335000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=1 IF_BJ_TAKEN=0
[345000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=1 IF_BJ_TAKEN=0
[355000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[365000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[375000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[385000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[395000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[405000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[415000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[425000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[435000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[445000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[455000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[465000][FLUSH] IFID=1 IDEX=1 EXMEM=1 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=1
[475000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
[485000][FLUSH] IFID=0 IDEX=0 EXMEM=0 |[STALL] PC=0 IFID=0 IDEX=0 EXMEM=0 | MEM_MEMREAD=0 IF_BJ_TAKEN=0
