wire if_bj_taken_w;
[5000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=00000000 MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[15000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=00000000 MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[25000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=00000000 MEMWB_ALU=00000000 | EXMEM_PC=00000000 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[35000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000000 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[45000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000000 | EX_RS1=00000000 EX_RS200000000
[55000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000000 | EXMEM_PC=00000004 EXMEM_ALU=00000001 | EX_RS1=00000000 EX_RS200000000
[65000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000004 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000001 | EXMEM_PC=00000008 EXMEM_ALU=00000002 | EX_RS1=00000000 EX_RS200000000
[75000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=00000008 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000002 | EXMEM_PC=0000000c EXMEM_ALU=00000003 | EX_RS1=00000000 EX_RS200000000
[85000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000000  SRC2=00000000 | MEMWB_PC+4=0000000c MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000003 | EXMEM_PC=00000010 EXMEM_ALU=00000004 | EX_RS1=00000000 EX_RS200000000
[95000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000010 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000004 | EXMEM_PC=00000014 EXMEM_ALU=00000005 | EX_RS1=00000001 EX_RS200000002
[105000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000003  SRC2=00000001 | MEMWB_PC+4=00000014 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000005 | EXMEM_PC=00000018 EXMEM_ALU=00000003 | EX_RS1=00000003 EX_RS200000001
[115000][FORWARDING-UNIT] MUX1=0 MUX2=0 | SRC1=00000001  SRC2=00000002 | MEMWB_PC+4=00000018 MEMWB_MEM_DATA=xxxxxxxx MEMWB_ALU=00000003 | EXMEM_PC=0000001c EXMEM_ALU=00000002 | EX_RS1=00000001 EX_RS200000002
