wire [31:0] if_instruction_w;
[5000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[15000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[25000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[35000][ID-SIGNAL] PC=00000000 INSTR=00100093 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000001 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00001
[45000][ID-SIGNAL] PC=00000004 INSTR=00200113 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000002 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00010
[55000][ID-SIGNAL] PC=00000008 INSTR=00300193 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000003 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00011
[65000][ID-SIGNAL] PC=0000000c INSTR=00400213 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000004 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00100
[75000][ID-SIGNAL] PC=00000010 INSTR=00500293 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000005 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00101
[85000][ID-SIGNAL] PC=00000014 INSTR=00208333 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00110
[95000][ID-SIGNAL] PC=00000018 INSTR=401183b3 | RS1_ADDR=03 RS1_ADDR=01 | RS1_DATA=00000003 RS2_DATA=00000001 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0001 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00111
[105000][ID-SIGNAL] PC=0000001c INSTR=00209433 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0010 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01000
