wire [31:0] if_pc_w;
[5000][IF-SIGNAL] PC_NEXT=00000000 PC=00000004 | INSTR=00100093 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[15000][IF-SIGNAL] PC_NEXT=00000000 PC=00000004 | INSTR=00100093 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[25000][IF-SIGNAL] PC_NEXT=00000000 PC=00000004 | INSTR=00100093 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[35000][IF-SIGNAL] PC_NEXT=00000004 PC=00000008 | INSTR=00200113 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[45000][IF-SIGNAL] PC_NEXT=00000008 PC=0000000c | INSTR=00300193 | if_pc_bj_w=00000000 | if_bj_taken_w=0
[55000][IF-SIGNAL] PC_NEXT=0000000c PC=00000010 | INSTR=00400213 | if_pc_bj_w=00000001 | if_bj_taken_w=0
[65000][IF-SIGNAL] PC_NEXT=00000010 PC=00000014 | INSTR=00500293 | if_pc_bj_w=00000006 | if_bj_taken_w=0
[75000][IF-SIGNAL] PC_NEXT=00000014 PC=00000018 | INSTR=00208333 | if_pc_bj_w=0000000b | if_bj_taken_w=0
[85000][IF-SIGNAL] PC_NEXT=00000018 PC=0000001c | INSTR=401183b3 | if_pc_bj_w=00000010 | if_bj_taken_w=0
[95000][IF-SIGNAL] PC_NEXT=0000001c PC=00000020 | INSTR=00209433 | if_pc_bj_w=00000015 | if_bj_taken_w=0
[105000][IF-SIGNAL] PC_NEXT=00000020 PC=00000024 | INSTR=0020a4b3 | if_pc_bj_w=00000014 | if_bj_taken_w=0
[115000][IF-SIGNAL] PC_NEXT=00000024 PC=00000028 | INSTR=0020b533 | if_pc_bj_w=00000018 | if_bj_taken_w=0
[125000][IF-SIGNAL] PC_NEXT=00000028 PC=0000002c | INSTR=0020c5b3 | if_pc_bj_w=0000001c | if_bj_taken_w=0
[135000][IF-SIGNAL] PC_NEXT=0000002c PC=00000030 | INSTR=00115633 | if_pc_bj_w=00000020 | if_bj_taken_w=0
[145000][IF-SIGNAL] PC_NEXT=00000030 PC=00000034 | INSTR=401156b3 | if_pc_bj_w=00000024 | if_bj_taken_w=0
