wire if_bj_taken_w;
[5000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[15000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[25000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[35000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[45000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[55000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[65000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=2 | ALU_RESULT=00000002 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[75000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000003 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[85000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000004 RS2_DATA=00000000 | MEM_ADDR=001 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[95000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000005 RS2_DATA=00000000 | MEM_ADDR=001 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[105000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000003 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[115000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=2 | ALU_RESULT=00000002 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[125000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000004 RS2_DATA=00000002 | MEM_ADDR=001 DIN0=00000010 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[135000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[145000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[155000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000003 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[165000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[175000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[185000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000003 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[195000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000010 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[205000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=0000000b RS2_DATA=00000000 | MEM_ADDR=002 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[215000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[225000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[235000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=2 | ALU_RESULT=00000002 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[245000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000007 RS2_DATA=00000000 | MEM_ADDR=001 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[255000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[265000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=2 | ALU_RESULT=00000002 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[275000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[285000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[295000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=000000f4 RS2_DATA=00000000 | MEM_ADDR=03d DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[305000][MEM-SIGNAL] MEMREAD=1 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=000000f4 RS2_DATA=00000000 | MEM_ADDR=03d DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[315000][MEM-SIGNAL] MEMREAD=1 MEMWRITE=0 | WIDTH_SE=1 OFFSET=0 | ALU_RESULT=000000f4 RS2_DATA=00000000 | MEM_ADDR=03d DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[325000][MEM-SIGNAL] MEMREAD=1 MEMWRITE=0 | WIDTH_SE=2 OFFSET=x | ALU_RESULT=xxxxxxxx RS2_DATA=00000000 | MEM_ADDR=xxx DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[335000][MEM-SIGNAL] MEMREAD=1 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=000000f4 RS2_DATA=00000000 | MEM_ADDR=03d DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[345000][MEM-SIGNAL] MEMREAD=1 MEMWRITE=0 | WIDTH_SE=1 OFFSET=0 | ALU_RESULT=000000f4 RS2_DATA=00000000 | MEM_ADDR=03d DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[355000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=1 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=000000f4 RS2_DATA=00000001 | MEM_ADDR=03d DIN0=00000001 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[365000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=1 | WIDTH_SE=1 OFFSET=2 | ALU_RESULT=000000f6 RS2_DATA=00000002 | MEM_ADDR=03d DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[375000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=1 | WIDTH_SE=2 OFFSET=0 | ALU_RESULT=000000f8 RS2_DATA=00000003 | MEM_ADDR=03e DIN0=00000011 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[385000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000001 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[395000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
