wire if_bj_taken_w;
[5000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=00000000 PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[15000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=00000000 PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[25000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=00000000 PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[35000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[45000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[55000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[65000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=1 RD_ADDR=01 | WB_DATA=00000001 
[75000][WB-SIGNAL] SEL=0 | ALU=00000002 MEM=xxxxxxxx PC+4=00000008 | REG_WRITE=1 RD_ADDR=02 | WB_DATA=00000002 
[85000][WB-SIGNAL] SEL=0 | ALU=00000003 MEM=xxxxxxxx PC+4=0000000c | REG_WRITE=1 RD_ADDR=03 | WB_DATA=00000003 
[95000][WB-SIGNAL] SEL=0 | ALU=00000004 MEM=xxxxxxxx PC+4=00000010 | REG_WRITE=1 RD_ADDR=04 | WB_DATA=00000004 
[105000][WB-SIGNAL] SEL=0 | ALU=00000005 MEM=xxxxxxxx PC+4=00000014 | REG_WRITE=1 RD_ADDR=05 | WB_DATA=00000005 
[115000][WB-SIGNAL] SEL=0 | ALU=00000003 MEM=xxxxxxxx PC+4=00000018 | REG_WRITE=1 RD_ADDR=06 | WB_DATA=00000003 
[125000][WB-SIGNAL] SEL=0 | ALU=00000002 MEM=xxxxxxxx PC+4=0000001c | REG_WRITE=1 RD_ADDR=07 | WB_DATA=00000002 
[135000][WB-SIGNAL] SEL=0 | ALU=00000004 MEM=xxxxxxxx PC+4=00000020 | REG_WRITE=1 RD_ADDR=08 | WB_DATA=00000004 
[145000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000024 | REG_WRITE=1 RD_ADDR=09 | WB_DATA=00000001 
[155000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000028 | REG_WRITE=1 RD_ADDR=0a | WB_DATA=00000001 
[165000][WB-SIGNAL] SEL=0 | ALU=00000003 MEM=xxxxxxxx PC+4=0000002c | REG_WRITE=1 RD_ADDR=0b | WB_DATA=00000003 
[175000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000030 | REG_WRITE=1 RD_ADDR=0c | WB_DATA=00000001 
[185000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000034 | REG_WRITE=1 RD_ADDR=0d | WB_DATA=00000001 
[195000][WB-SIGNAL] SEL=0 | ALU=00000003 MEM=xxxxxxxx PC+4=00000038 | REG_WRITE=1 RD_ADDR=0e | WB_DATA=00000003 
[205000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=0000003c | REG_WRITE=1 RD_ADDR=0f | WB_DATA=00000000 
[215000][WB-SIGNAL] SEL=0 | ALU=0000000b MEM=xxxxxxxx PC+4=00000040 | REG_WRITE=1 RD_ADDR=10 | WB_DATA=0000000b 
[225000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000044 | REG_WRITE=1 RD_ADDR=11 | WB_DATA=00000001 
[235000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000048 | REG_WRITE=1 RD_ADDR=12 | WB_DATA=00000001 
[245000][WB-SIGNAL] SEL=0 | ALU=00000002 MEM=xxxxxxxx PC+4=0000004c | REG_WRITE=1 RD_ADDR=13 | WB_DATA=00000002 
[255000][WB-SIGNAL] SEL=0 | ALU=00000007 MEM=xxxxxxxx PC+4=00000050 | REG_WRITE=1 RD_ADDR=14 | WB_DATA=00000007 
[265000][WB-SIGNAL] SEL=0 | ALU=00000001 MEM=xxxxxxxx PC+4=00000054 | REG_WRITE=1 RD_ADDR=15 | WB_DATA=00000001 
[275000][WB-SIGNAL] SEL=0 | ALU=00000002 MEM=xxxxxxxx PC+4=00000058 | REG_WRITE=1 RD_ADDR=16 | WB_DATA=00000002 
[285000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=0000005c | REG_WRITE=1 RD_ADDR=17 | WB_DATA=00000000 
[295000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000060 | REG_WRITE=1 RD_ADDR=18 | WB_DATA=00000000 
[305000][WB-SIGNAL] SEL=0 | ALU=000000f4 MEM=xxxxxxxx PC+4=00000064 | REG_WRITE=1 RD_ADDR=19 | WB_DATA=000000f4 
[315000][WB-SIGNAL] SEL=1 | ALU=000000f4 MEM=xxxxxxxx PC+4=00000068 | REG_WRITE=1 RD_ADDR=1a | WB_DATA=xxxxxxxx 
[325000][WB-SIGNAL] SEL=1 | ALU=000000f4 MEM=xxxxxxxx PC+4=0000006c | REG_WRITE=1 RD_ADDR=1b | WB_DATA=xxxxxxxx 
[335000][WB-SIGNAL] SEL=1 | ALU=xxxxxxxx MEM=xxxxxxxx PC+4=00000070 | REG_WRITE=1 RD_ADDR=1c | WB_DATA=xxxxxxxx 
[345000][WB-SIGNAL] SEL=1 | ALU=000000f4 MEM=xxxxxxxx PC+4=00000074 | REG_WRITE=1 RD_ADDR=1d | WB_DATA=xxxxxxxx 
[355000][WB-SIGNAL] SEL=1 | ALU=000000f4 MEM=xxxxxxxx PC+4=00000078 | REG_WRITE=1 RD_ADDR=1e | WB_DATA=xxxxxxxx 
[365000][WB-SIGNAL] SEL=0 | ALU=000000f4 MEM=xxxxxxxx PC+4=0000007c | REG_WRITE=0 RD_ADDR=00 | WB_DATA=000000f4 
[375000][WB-SIGNAL] SEL=0 | ALU=000000f6 MEM=xxxxxxxx PC+4=00000080 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=000000f6 
[385000][WB-SIGNAL] SEL=0 | ALU=000000f8 MEM=xxxxxxxx PC+4=00000084 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=000000f8 
[395000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000088 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[405000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[415000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[425000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[435000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000090 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[445000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[455000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[465000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[475000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000098 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[485000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[495000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[505000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[515000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=000000a0 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[525000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[535000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[545000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[555000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=000000a8 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[565000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000000 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[575000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
[585000][WB-SIGNAL] SEL=0 | ALU=00000000 MEM=xxxxxxxx PC+4=00000004 | REG_WRITE=0 RD_ADDR=00 | WB_DATA=00000000 
